"полное наименование","Сокращённое наименование","Почтовый адрес учреждения","Геокоординаты учреждения: широта","Геокоординаты учреждения:долгота","адрес сайта учреждения в сети Интернет","адрес электронной почты учреждения","номер телефона учреждения","номер факса учреждения","реквизиты устава учреждения","цель учреждения","возраст воспитанников","направленность групп учреждения","режим функционирования групп учреждений","Должность руководителя учреждения","Ф.И.О. руководителя учреждения","Курирующий орган Городской Управы города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 6 города Калуги","МБДОУ № 6 г. Калуги","248010, Калужская область, г.Калуга, ул. Чичерина, д.6,","54.533237","36.257981","http://ds6.kaluga.prosadiki.ru/","ds006@uo.kaluga.ru","+74842747368",,"Утверждён постановлением Городской Управы города Калуги от  03.03.2015 № 2698-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая, кратковременного пребывания","понедельник-пятница с 7.00 до 19.00.","заведующий","Карпушина Ирина Кимовна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 6 города Калуги","МБДОУ № 6 г. Калуги","248010, Калужская область, г.Калуга,  пер. Чичерина, д.13а","54.531006","36.256786","http://ds6.kaluga.prosadiki.ru/","ds006@uo.kaluga.ru","+74842277564, +74842278584",,"Утверждён постановлением Городской Управы города Калуги от 03.03.2015 № 2698-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Карпушина Ирина Кимовна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение  № 7 города Калуги","МБДОУ № 7 г. Калуги","248016,Калужская область, г.Калуга, ул. Ленина, д.45","54.522991","36.271887","http://mbdoy-7.ru/","ds007@uo.kaluga.ru","+74842224298",+74842224298,"Утверждён постановлением Городской Управы города Калуги от 13.07.2015 №8814-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Куренкова Людмила Алексеевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 10 ВЕТЕРОК города Калуги","МБДОУ № 10 ВЕТЕРОК г. Калуги","248031, Калужская область г.Калуга д.Лихун, ул.Губернская д 25","54.629518","36.274223","http://sad-veterok.ru/","ds010@uo.kaluga.ru","+74842226558; +74842226559",,"Утверждён постановлением Городской Управы города Калуги от 26.10.2015 №13849-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая,  компенсирующая","понедельник-пятница с 7.00 до 19.00.","заведующий","Карпова Елена Анатольевна","Управление образования города Калуги"
"Необособленное структурное подразделение МАЛЫШ","МБДОУ № 10 «Ветерок»  г. Калуги СНП МАЛЫШ","248920, Калужская обл., г.Калуга, ст. Тихонова Пустынь, ул. Советская, д.3","54.51523","36.331347","http://sad-veterok.ru/","ds014@uo.kaluga.ru","+74842784025",,"Утверждён постановлением Городской Управы города Калуги от 26.10.2015 №13849-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Карпова Елена Анатольевна","Управление образования города Калуги"
"Необособленное структурное подразделение ОДУВАНЧИК","МБДОУ № 10 «Ветерок»  г. Калуги СНП ОДУВАНЧИК","248920, Калужская область, г.Калуга, с. Мирное, д.25","54.507014","36.252277","http://sad-veterok.ru/","ds014@uo.kaluga.ru","+74842784144",,"Утверждён постановлением Городской Управы города Калуги от 26.10.2015 №13849-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Карпова Елена Анатольевна","Управление образования города Калуги"
"Необособленное структурное подразделение ЁЛОЧКА","МБДОУ № 10 «Ветерок»  г. Калуги СНП ЁЛОЧКА","248918,Калужская область,  г.Калуга, с.Муратовский щебзавод, д.28","54.606528","36.200875","http://sad-veterok.ru/","ds061@uo.kaluga.ru","+74842226970",,"Утверждён постановлением Городской Управы города Калуги от 26.10.2015 №13849-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Карпова Елена Анатольевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 12 РОМАШКА города Калуги","МБДОУ № 12 РОМАШКАг. Калуги","248915, Калужская область, г.Калуга, д.Мстихино, ул. Радужная, д.5","54.564213","36.133261","http://romashka-mstihino.ru","ds012@uo.kaluga.ru","+74842760875",+74842760875,"Утверждён постановлением Городской Управы города Калуги от 05.02.2015 №1118-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Даценко Наталья Николаевна","Управление образования города Калуги"
"Муниципальное бюджетное  дошкольное образовательное учреждение № 15 РАКЕТА города Калуги","МБДОУ № 15 РАКЕТА г.Калуги","248001, Калужская область, г.Калуга, ул.Воронина, д.30","54.517877","36.258730","http://ds15raketa.ru /","ds015@uo.kaluga.ru","+74842574059",,"Утвержден постановлением Городской Управы города Калуги от 03.03.2015  № 2699 -пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 06.45-18.45.","заведующий","Киселева Оксана Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 16 КОЛОБОК города Калуги","МБДОУ № 16 КОЛОБОК г.Калуги","248000, Калужская область, г.Калуга, ул. Первомайская, д.39а","54.503861","36.265356","http://sad16.umi.ru","ds016@uo.kaluga.ru","+74842796724",74842509957,"Утвержден постановлением Городской Управы города Калуги от 18.05.2015  № 5911-пи.","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года 6 месяцев до прекращения образовательных отношений","общеразвивающая, компенсирующая","понедельник-пятница, полного дня с 7.00 до 19.00, кратковременного пребывания (от 3 до 5 часов в день).","заведующий","Меркулова Светлана Алексеевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение № 17 Начальная школа - детский сад города Калуги","МБОУ № 17 Начальная школа - детский сад г. Калуги","248022, Калужская область, г.Калуга, ул.Привокзальная, д.10а","54.537930","36.129732","http://shcola-sad17.umi.ru","ds017@uo.kaluga.ru","+74842785496",+74842785205,"Утверждён постановлением Городской Управы города Калуги от 21.04.2015  № 4739-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00.","заведующий","Евсеева Светлана Геннадьевна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 18 ЯГОДКА города Калуги","МБДОУ № 18 ЯГОДКА г.Калуги","248000, Калужская область, г.Калуга, ул. Строительная, д.1д","54.5429900","36.0026200","http://mdou18-kaluga.ru/","ds018@uo.kaluga.ru","+74842478470",,"Утвержден постановлением Городской Управы города Калуги от 17.12.2014  №17198-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 2 лет до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 6.30 до 18.30","заведующий","Добрынина Марина Зайнулабдиновна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ города Калуги","МБДОУ № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ г.Калуги","248021, Калужская обл., г.Калуга, ул.Глаголева, д.30","54.537997","36.275368","http://ds21klg.ru/","ds021@uo.kaluga.ru","+74842550612",+74842550612,"Утвержден постановлением Городской Управы г. Калуги  от 30.06.2015 № 8238-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая,  компенсирующая,  комбированная","понедельник-пятница с 7.00 до 19.00, круглосуточная разновозрастная группа компенсирующей направленности","заведующий","Желтикова Наталия Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ города Калуги  необособленное структурное подразделение СОЛОВУШКА","МБДОУ № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ г.Калуги НСП СОЛОВУШКА","248017, Калужская обл., г.Калуга, пер.Строительный, д13а","54.554348","36.270651","http://ds21klg.ru/","ds021@uo.kaluga.ru","+74842550190",,"Утвержден постановлением Городской Управы г. Калуги  от 30.06.2015 № 8238-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00","заведующий","Желтикова Наталия Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное дошкольное образовательное учреждение № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ города Калуги  необособленное структурное подразделение КРОХА","МБДОУ № 21 ЗОЛОТЫЕ ЗЁРНЫШКИ г.Калуги НСП КРОХА","248017, Калужская обл., г.Калуга, ул. Московская, д.232","54.533815","36.269254","http://ds21klg.ru/","ds021@uo.kaluga.ru","+74842551734",,"Утвержден постановлением Городской Управы г. Калуги  от 30.06.2015 № 8238-пи","образовательная деятельность по образовательным программам дошкольного образования, присмотр и уход за детьми","от 1 года и 6 месяцев до прекращения образовательных отношений","общеразвивающая","понедельник-пятница с 7.00 до 19.00","заведующий","Желтикова Наталия Владимировна","Управление образования города Калуги"
