"полное наименование учреждения","Сокращенное наименование учреждения","Почтовый адрес учреждения","Геокоординаты учреждения широта","Геокоординаты учреждения долгота","Адрес сайта учреждения в сети  Интернет","Адрес электронной почты учреждения","Номер телефона учреждения","Номер факса учреждения","Реквизиты устава учреждения","Основные виды деятельности учреждения","Перечень закрепленных за школами территорий","Должность руководителя учреждения","Ф.И.О. руководителя учреждения","Курирующий орган Городской Управы города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 1  города Калуги","МБОУ  Средняя общеобразовательная школа № 1  г. Калуги","248025, Калужская область, г. Калуга, ул. Луговая, д. 43",54.554332,36.285461,"http://sch1kaluga.ru/","sch01@uo.kaluga.ru","8-4842-515-093, 8-4842-515-884","8-4842-515-093","Постановление Городской Управы города Калуги от 03.02.2015 № 1075-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Вагонная
пер. Вагонный
ул. Валентины Никитиной, № 2-8 (четная сторона), с № 32 до конца по четной стороне, № 1-19 (нечетная сторона), с № 41 до конца по нечетной стороне
ул. Врубовая
пер. Врубовой
ул. Забойная
пер. Забойный
ул. Западная
ул. Зеленая, № 1-29 (все)
ул. Зерновая
ул. Луговая
пер. Луговой
ул. Отбойная
ул. Путейская
ул. Радищева (четная сторона)
ул. Северная
пер. Северный
ул. Степная
пр. Степной
ул. Тарутинская, № 1-183 (нечетная сторона)
ул. Тракторная 
пер. Тракторный
ул. Малинники, № 1-27 (все)
ул. 8 Марта
пер. 8 Марта
ул. Механизаторов
пер. Механизаторов 
ул. Шахтеров
пер. Шахтеров
ул. Штрековая
пер. Штрековый","директор","КУЗНЕЦОВА Клавдия Валерьевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 2 им. М.Ф.Колонтаева  города Калуги","МБОУ  Средняя общеобразовательная школа № 2 им. М.Ф. Колонтаева  г. Калуги","248010, Калужская область,г. Калуга, ул. Пухова, д. 54",54.554332,36.285461,"http://kaluga-school2.ru/","sch02@uo.kaluga.ru","8-4842-551-242, 8-4842-551-245","8-4842-56-39-08","Постановление Городской Управы города Калуги от 18.05.2015 № 5909-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","пер. 1-й Брусничный 
пер. 2-й Брусничный
пер. Брусничный
пер. Кирпичный
пер. Колхозный 
пер. Окружной
пер. Поле Свободы
пер. Семеново Городище
пер. Труда
пер. Черепичный 
пр. Колхозный
ул. Брусничная
ул. Высокая
ул. Кирпичная
ул. Колхозная
ул. Кооперативная
ул. Московская, № 131-193 (нечетная сторона)
ул. Окружная 
ул. Поле Свободы, № 20-68 (четная сторона)
ул. Пухова, № 1-49 (нечетная сторона), 2-58 (четная сторона)
ул. Рубежная
ул. Семеново Городище
ул. Телевизионная, с № 11 до конца
ул. Труда, с № 1 до конца по нечетной стороне
ул. Черепичная
ул. Чичерина, с № 13 до конца по нечетной стороне","и.о.директора","КОТЕЛОВИЧ Павел Игоревич","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 3 им.Г.В.Зимина  города Калуги","МБОУ  Средняя общеобразовательная школа № 3 им.Г.В.Зимина  г. Калуги","248600, Калужская область, г. Калуга, ул. Дзержинского, д. 57; ул. Луначарского, д.1",54.512283,36.261152,"http://www.40203s001.edusite.ru/","sch03@uo.kaluga.ru","8-4842-575-487, 8-4842-8-4842-576-711, 8-4842-574-649, 8-4842-574-849, 8-4842-563-860","8-4842-575-487","Постановление Городской Управы города Калуги от 26.01.2015 № 571-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Воробьевская 
пер. Воробьевский
ул. Воскресенская, № 1-27 (все)
туп. Воскресенский
пер. Воскресенский
пер. Гостинорядский
пер. Григоров
пер. 1-й Красноармейский
ул. Кропоткина 
ул. Ленина, с № 70 до конца по четной стороне, с № 75 до конца по нечетной стороне
ул. Луначарского, № 1-30 (все)
ул. Монастырская 
пер. Монастырский
ул. Дарвина 
ул. Декабристов
ул. Дзержинского, с № 59 до конца по нечетной стороне, с № 64 до конца по четной стороне
ул. Кавказ
ул. Карпова
пер. Карпова
ул. Кирова, № 58-94 (четная сторона)
ул. Космонавта Пацаева (нечетная сторона)
ул. Московская, № 1-51 (нечетная сторона), № 2-6 (четная сторона)
ул. Николо-Козинская, № 2-22 (четная сторона)
пер. Старичков 
пер. Старообрядческий
туп. Софьи Перовской
ул. Театральная, № 25-44 (все)
ул. Тульская, № 1-32 (все)
ул. Чебышева 
пл. Старый торг
пл. К.Маркса
ул. Баженова
пер. Профессиональный","директор","БУНЕЕВ Валерий Леонидович","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 4  города Калуги","МБОУ  Средняя общеобразовательная школа № 4  г. Калуги","248003, Калужская область, г. Калуга, ул. Болдина, д. 15",54.506057,36.293536,"http://school4.ru/","sch04@uo.kaluga.ru","8-4842-733-812, 8-4842-8-4842-733-815, 8-4842-733-763","8-4842-733-812","Постановление Городской Управы города Калуги от 15.12.2015 № 16982-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Александра Матросова
ул. Белинского
ул. Болдина
ул. Больничная 
пер. 2-й Больничный 
пр. Восточный
пер. Карьерный
ул.2-я Киевка
ул. Некрасова
ул. Никитина, с № 70 до конца по четной стороне
ул. Николая Островского
ул. Окская ветка
ул. Постовалова
ул. Салтыкова-Щедрина, с № 107 до конца
ул. Спичечная
ул. Спортивная
дер. Георгиевское
дер. Пучково
дер. Тинино","директор","НОВОСЕЛЬСКИЙ Игорь Владимирович","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 5  города Калуги","МБОУ  Средняя общеобразовательная школа № 5  г. Калуги","248600, Калужская область, г. Калуга, ул. Дзержинского, д. 49",54.512596,36.258565,"http://school5.kaluga.ru/","sch05@uo.kaluga.ru","8-4842-575-522, 8-4842-577-246, 8-4842-576-254","8-4842-577-246","Постановление Городской Управы города Калуги от 26.12.2014 № 17689-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Герцена, с № 16 до конца, кроме № 17, 17 корп.1, 19а
ул. Дзержинского, № 25-29 (нечетная сторона), № 30-57 (все), № 58-62 (четная сторона)
ул. Достоевского, с № 18 до конца
ул. Кирова, № 7-27 (нечетная сторона), № 18-56 (четная сторона)
ул. Космонавта Пацаева (четная сторона)
ул. Марата
ул. Московская, № 8-48 (четная сторона)
ул. Плеханова, № 33-48 (все)
ул. Рылеева, № 30-43 (все)
ул. Суворова, № 62-128 (четная сторона)
ул. Театральная, № 1-24 (все), с № 45 до конца
пл. Театральная","директор","ЗЕЛЕНОВ Сергей Вадимович","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 6 имени А.С.Пушкина  города Калуги","МБОУ  Средняя общеобразовательная школа № 6 имени А.С.Пушкина  г. Калуги","248600, Калужская область, г. Калуга, ул. Королёва, д. 14, г. Калуга, ул. Ромодановские дворики, д. 61",54.513359,36.238048,"http://6school-kaluga.ucoz.ru/","sch06@uo.kaluga.ru","8-4842-746-190, 8-4842-720-680, 8-4842-744-135, 8-4842-745-058","8-4842-720-680","Постановление Городской Управы города Калуги от 25.02.2015 № 2199-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Академика Королева, № 1-43 (нечетная сторона), № 2-14 (четная сторона)ул. Большевиков,
ул. Берёзовая
пер. Берёзовый
ул. Бутырская
ул. Вооруженного Восстания
ул. Выставочная
в/ч 10199
ул. Гагарина (нечетная сторона) 
ул. Гоголя
ул.Дачная
ул. Добровольского
пр. Загородносадский 
ул. Заокская
пер. Интернациональный 
пер. 2-й Интернациональный
ул. Каштановая
ул. Космонавта Волкова 
ул. Космонавта Комарова, № 1-23 (все)
пл. Мира
ул.Нагорная
с. Некрасово
ул. Николаева
ул. Мелиораторов
ул. Октябрьская 
пер. Октябрьский 
ш. Одоевское
ул. Планерная
ул. Парижской Коммуны
пер. Парковый
с. Приокское лесничество, ул. Лесная
ул. Ромодановские Дворики
пер. Ромодановские Дворики
ул. Секиотовское кольцо
ул. Секиотовская
Секиотовское шоссе
пер. Секиотовский
пр. 1-й Секиотовский
пр. 2-й Секиотовский
пр. 3-й Секиотовский
ул. Сиреневая
ул. Совхозная 
пер. Совхозный
ул. Сосновая
ул. Суворова, № 2-56 (четная сторона), 60
пер. Суворова 
ул. Тепличная
ул. Циолковского 
ул. Ясная
ул. Яченская  
пер. Яченский","директор","АНОХИНА Елена Владимировна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 7  города Калуги","МБОУ  Средняя общеобразовательная школа № 7  г. Калуги","248600, Калужская область, г. Калуга, ул. Телевизионная, д. 5",54.533806,36.262356,"http://www.40202-s-001.edusite.ru/","sch07@uo.kaluga.ru","8-4842-557-589, 8-4842-551-332, 8-4842-551-295","8-4842-551-332","Постановление Городской Управы города Калуги от 17.02.2015 № 1838-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Билибина, № 1-29 (нечетная сторона)
ул. Литейная  
пер. Литейный  
ул. Новая стройка
ул. Социалистическая, № 1-12 (все)
ул. Телевизионная, № 1-10 (все)
ул. Тельмана 
ул. Московская, № 186-242 (четная сторона)
ул. Чичерина, № 1-11 (нечетная сторона),       № 2-10 (четная сторона)
пер.Калинина
ул. Калинина, № 12-18 (четная сторона)
пер. Чичерина, № 28","директор","ГАПЕЕВА Светлана Геннадьевна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа № 8  города Калуги","МБОУ  Средняя общеобразовательная школа № 8  г. Калуги","248602, Калужская область, г. Калуга, ул. Беляева, д. 2",54.50119,36.268707,"http://www.school8kaluga.edusite.ru/","sch08@uo.kaluga.ru","8-4842-576-002, 8-4842-563-802","8-4842-576-002","Постановление Городской Управы города Калуги от 18.06.2015 № 7385-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","ул. Беляева 
ул. Вилонова  
ул. Войкова 
ул. Воскресенская, с № 28 до конца
пер. Воскресенский, с № 4 до конца по четной стороне
пер. Даниловский 
ул. Детей Коммунаров 
ул. Зеленый Крупец 
ул. Знаменская 
пер. Знаменский
пер. Каракозова
пер. 2-й Красноармейский 
ул. Красная Гора 
ул. Краснопивцева 
ул. Кутузова 
пер. Лапушкин 
ул. Луначарского, с № 31 до конца
пер. Луначарского 
ул. Набережная 
ул. 2-я Набережная
ул. Никитина, № 1-31 (все) 
пер. Никитина
ул. Николо-Козинская, с № 79 до конца по нечетной стороне, с №  96 до конца по четной стороне
ул. Новорежская 
пер. Новый 
ул. Первомайская 
ул. Подвойского
пер. Подвойского
ул. Салтыкова-Щедрина, № 1-106
пер. Салтыкова-Щедрина
ул. Степана Разина, с № 62 до конца по четной стороне
пер. Тульский
пр. Декабристов
пер. К. Цеткин
туп. К. Цеткин
пр. К. Цеткин","директор","ДОММЕ Оксана Ивановна","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Лицей № 9 имени К.Э.Циолковского  города Калуги","МБОУ  Лицей № 9 имени К.Э.Циолковского  г. Калуги","248000, Калужская область, г. Калуга, ул. Кутузова, д. 22",54.503129,36.258592,"http://www.lyceum9.com/","sch09@uo.kaluga.ru","8-4842-575-850, 8-4842-562-036, 8-4842-578-341","8-4842-575-850","Постановление Городской Управы города Калуги от 26.01.2015 № 521-пи","85.13 Образование основное общее , 85.14 Образование среднее общее, 85.41.Образование дополнительное детей и взрослых, 85.12Образование начальное общее","Муниципальное образование «Город Калуга»","директор","ИВАНЦОВ Евгений Владимирович","Управление образования города Калуги"
"Муниципальное бюджетное общеобразовательное учреждение  Средняя общеобразовательная школа №10 с углубленным изучением отдельных предметов  города Калуги","МБОУ  Средняя общеобразовательная школа № 10 с углубленным изучением отдельных предметов  г. Калуги","248018, Калужская область, г. Калуга, ул. М.Жукова, д. 51",54.520781,36.290824,"http://www.40203s003.edusite.ru/","Sch10@uo.kaluga.ru","8-4842-738-109, 8-4842-737-126","8-4842-738-109","Постановление Городской Управы города Калуги от 18.05.2015 № 5908-пи","85.13 Образование основное общее , 85.14 Образование среднее общее,  85.12Образование начальное общее","ул. Болотникова
ул. Константиновых
ул. Маршала Жукова, с № 23 до конца по нечетной стороне
Грабцевское шоссе, № 1-21 (все)","директор","КАРПЕЧЕНКО Александра Сергеевна","Управление образования города Калуги"
